ID,Smiles,IC50 (nM),canonical_smiles,Molecular Weight,LogP,num_H_acceptors,num_H_Donors
1303688,Cc1c(NC(=O)c2cc(CNCCO)cn(C)c2=O)cccc1-c1ccc2OCCOc2c1,100.0,Cc1c(NC(=O)c2cc(CNCCO)cn(C)c2=O)cccc1-c1ccc2c(c1)OCCO2,449.50700000000023,2.46612,7,3
1268315,Cc1c(NC(=O)c2ncc(CN3CCCC[C@H]3C(O)=O)s2)cccc1-c1ccccc1,100.0,Cc1c(NC(=O)c2ncc(CN3CCCC[C@H]3C(=O)O)s2)cccc1-c1ccccc1,435.54900000000004,4.8099200000000035,5,2
1268316,Cc1c(NC(=O)c2ncc(CNCCO)s2)cccc1-c1ccccc1,100.0,Cc1c(NC(=O)c2ncc(CNCCO)s2)cccc1-c1ccccc1,367.47400000000005,3.452720000000002,5,3
1268319,Cc1c(NC(=O)c2ncc(CNCCO)n2C)cccc1-c1ccccc1,100.0,Cc1c(NC(=O)c2ncc(CNCCO)n2C)cccc1-c1ccccc1,364.44900000000007,2.7297200000000004,5,3
1268320,Cc1c(NC(=O)c2cc(CN3CCCC[C@H]3C(O)=O)n(C)n2)cccc1-c1ccccc1,100.0,Cc1c(NC(=O)c2cc(CN3CCCC[C@H]3C(=O)O)n(C)n2)cccc1-c1ccccc1,432.52400000000006,4.086920000000003,5,2
1268321,Cc1c(NC(=O)c2cc(CNCCO)n(C)n2)cccc1-c1ccccc1,100.0,Cc1c(NC(=O)c2cc(CNCCO)n(C)n2)cccc1-c1ccccc1,364.44900000000007,2.7297200000000004,5,3
1268322,Cc1c(NC(=O)c2nc(Cl)c(CNCCO)s2)cccc1-c1ccccc1,100.0,Cc1c(NC(=O)c2nc(Cl)c(CNCCO)s2)cccc1-c1ccccc1,401.91900000000004,4.106120000000002,5,3
1268323,Cc1nc(sc1CNCCO)C(=O)Nc1cccc(-c2ccccc2)c1C,100.0,Cc1nc(C(=O)Nc2cccc(-c3ccccc3)c2C)sc1CNCCO,381.50100000000015,3.7611400000000024,5,3
1268324,Cn1nc(cc1CNCCO)C(=O)Nc1cccc(-c2ccc3OCCOc3c2)c1C#N,100.0,Cn1nc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C#N)cc1CNCCO,433.4680000000003,2.06418,8,3
1268325,Cn1nc(cc1CNCCO)C(=O)Nc1cccc(-c2ccccc2F)c1C#N,100.0,Cn1nc(C(=O)Nc2cccc(-c3ccccc3F)c2C#N)cc1CNCCO,393.4220000000002,2.4320800000000005,6,3
1268326,COc1cccc(c1F)-c1cccc(NC(=O)c2cc(CNCCO)n(C)n2)c1C#N,100.0,COc1cccc(-c2cccc(NC(=O)c3cc(CNCCO)n(C)n3)c2C#N)c1F,423.44800000000015,2.4406799999999995,7,3
1268327,Cn1nc(cc1CNCCO)C(=O)Nc1cccc(-c2cccc3n(C)ncc23)c1C#N,100.0,Cn1nc(C(=O)Nc2cccc(-c3cccc4c3cnn4C)c2C#N)cc1CNCCO,429.4840000000002,2.1796800000000007,8,3
1268328,Cn1c(CNCCO)cnc1C(=O)Nc1cccc(-c2ccc3OCCOc3c2)c1C#N,100.0,Cn1c(CNCCO)cnc1C(=O)Nc1cccc(-c2ccc3c(c2)OCCO3)c1C#N,433.4680000000003,2.0641799999999995,8,3
1268329,COc1cccc(c1F)-c1cccc(NC(=O)c2ncc(CNCCO)n2C)c1C#N,100.0,COc1cccc(-c2cccc(NC(=O)c3ncc(CNCCO)n3C)c2C#N)c1F,423.4480000000002,2.4406799999999995,7,3
1268331,Cc1c(COc2cc(OCc3cncc(Cl)c3)c(CN3CCCC[C@H]3C(O)=O)cc2Cl)cccc1-c1cccc(NC(=O)c2ncc(CNCCO)s2)c1C,100.0,Cc1c(COc2cc(OCc3cncc(Cl)c3)c(CN3CCCC[C@H]3C(=O)O)cc2Cl)cccc1-c1cccc(NC(=O)c2ncc(CNCCO)s2)c1C,804.7969999999999,8.060040000000008,10,4
1268332,Cc1c(COc2cc(OCc3cncc(c3)C#N)c(CN3CCCC[C@H]3C(O)=O)cc2Cl)cccc1-c1cccc(NC(=O)c2ncc(CN3CC[C@@H](O)C3)s2)c1C,100.0,Cc1c(COc2cc(OCc3cncc(C#N)c3)c(CN3CCCC[C@H]3C(=O)O)cc2Cl)cccc1-c1cccc(NC(=O)c2ncc(CN3CC[C@@H](O)C3)s2)c1C,821.3999999999999,7.763020000000009,11,3
1268333,Cc1c(NC(=O)c2cc(CN3CC[C@@H](O)C3)n(C)n2)cccc1-c1cccc(NC(=O)c2ncc(CN3CC[C@@H](O)C3)s2)c1C,100.0,Cc1c(NC(=O)c2cc(CN3CC[C@@H](O)C3)n(C)n2)cccc1-c1cccc(NC(=O)c2ncc(CN3CC[C@@H](O)C3)s2)c1C,629.787,3.7982400000000016,10,4
1348052,COc1nc(O[C@@H]2CCc3c2cccc3-c2cccc(Nc3nccc4cc(CN5CC[C@@H](O)C5)cnc34)c2C)ccc1CN1CC[C@H](C1)C(O)=O,100.0,COc1nc(O[C@@H]2CCc3c(-c4cccc(Nc5nccc6cc(CN7CC[C@@H](O)C7)cnc56)c4C)cccc32)ccc1CN1CC[C@@H](C(=O)O)C1,700.84,6.291820000000006,10,3
1348053,COc1nc(O[C@@H]2CCc3c2cccc3-c2cccc(Nc3nccc4cc(CN5CC[C@H](C5)C(O)=O)cnc34)c2C)cnc1CN1CC[C@@H](O)C1,100.0,COc1nc(O[C@@H]2CCc3c(-c4cccc(Nc5nccc6cc(CN7CC[C@@H](C(=O)O)C7)cnc56)c4C)cccc32)cnc1CN1CC[C@@H](O)C1,701.8280000000001,5.686820000000005,11,3
1348054,COc1nc(O[C@@H]2CCc3c2cccc3-c2cccc(Nc3nccc4cc(CN5CC[C@@H](O)C5)cnc34)c2C)cnc1CN1CC[C@H](C1)C(O)=O,100.0,COc1nc(O[C@@H]2CCc3c(-c4cccc(Nc5nccc6cc(CN7CC[C@@H](O)C7)cnc56)c4C)cccc32)cnc1CN1CC[C@@H](C(=O)O)C1,701.828,5.686820000000004,11,3
1348055,COc1nc(O[C@@H]2CCc3c2cccc3-c2cccc(-c3nc4cc(CN5CC[C@H](C5)C(O)=O)cc(C#N)c4o3)c2C)ccc1CN1CC[C@@H](O)C1,100.0,COc1nc(O[C@@H]2CCc3c(-c4cccc(-c5nc6cc(CN7CC[C@@H](C(=O)O)C7)cc(C#N)c6o5)c4C)cccc32)ccc1CN1CC[C@@H](O)C1,699.8080000000001,6.284900000000007,10,2
1348056,COc1nc(O[C@@H]2CCc3c2cccc3-c2cccc(Nc3nccc4cc(CN5CC[C@H](C5)C(O)=O)cnc34)c2C)ccc1CN1CC[C@@H](O)C1,100.0,COc1nc(O[C@@H]2CCc3c(-c4cccc(Nc5nccc6cc(CN7CC[C@@H](C(=O)O)C7)cnc56)c4C)cccc32)ccc1CN1CC[C@@H](O)C1,700.8400000000001,6.291820000000007,10,3
1348057,COc1nc(O[C@@H]2CCc3c2cccc3-c2cccc(-c3nc4cc(CN5CC[C@H](C5)C(O)=O)cc(C#N)c4o3)c2C)cnc1CN1CC[C@@H](O)C1,100.0,COc1nc(O[C@@H]2CCc3c(-c4cccc(-c5nc6cc(CN7CC[C@@H](C(=O)O)C7)cc(C#N)c6o5)c4C)cccc32)cnc1CN1CC[C@@H](O)C1,700.796,5.679900000000006,11,2
1348058,COc1nc(O[C@@H]2CCc3c2cccc3-c2cccc(-c3nc4cc(CN5CC[C@@H](O)C5)cc(C#N)c4o3)c2C)cnc1CN1CC[C@H](C1)C(O)=O,100.0,COc1nc(O[C@@H]2CCc3c(-c4cccc(-c5nc6cc(CN7CC[C@@H](O)C7)cc(C#N)c6o5)c4C)cccc32)cnc1CN1CC[C@@H](C(=O)O)C1,700.796,5.679900000000005,11,2
1348059,COc1nc(O[C@@H]2CCc3c2cccc3-c2cccc(Nc3nccc4cc(CN5CC[C@H](C5)C(O)=O)cnc34)c2Cl)ccc1CN1CC[C@@H](O)C1,100.0,COc1nc(O[C@@H]2CCc3c(-c4cccc(Nc5nccc6cc(CN7CC[C@@H](C(=O)O)C7)cnc56)c4Cl)cccc32)ccc1CN1CC[C@@H](O)C1,721.258,6.636800000000008,10,3
1348060,COc1nc(O[C@@H]2CCc3c2cccc3-c2cccc(Nc3nccc4cc(CN5CC[C@H](C5)C(O)=O)cnc34)c2Cl)cnc1CN1CC[C@@H](O)C1,100.0,COc1nc(O[C@@H]2CCc3c(-c4cccc(Nc5nccc6cc(CN7CC[C@@H](C(=O)O)C7)cnc56)c4Cl)cccc32)cnc1CN1CC[C@@H](O)C1,722.246,6.031800000000007,11,3
1348061,COc1nc(O[C@@H]2CCc3c2cccc3-c2cccc(Nc3nccc4cc(CN5CC[C@H](O)C5)cnc34)c2Cl)cnc1CN1CC[C@H](C1)C(O)=O,100.0,COc1nc(O[C@@H]2CCc3c(-c4cccc(Nc5nccc6cc(CN7CC[C@H](O)C7)cnc56)c4Cl)cccc32)cnc1CN1CC[C@@H](C(=O)O)C1,722.246,6.031800000000005,11,3
1313169,Cc1c(cccc1-c1ccc2OCCOc2c1)-c1cc2cc3[C@@H](CCc3c(C#N)c2o1)N1CC[C@H](C1)C(O)=O,100.0,Cc1c(-c2ccc3c(c2)OCCO3)cccc1-c1cc2cc3c(c(C#N)c2o1)CC[C@H]3N1CC[C@@H](C(=O)O)C1,520.5850000000003,6.111900000000006,6,1
1313170,Clc1c(cccc1-c1ccc2OCCOc2c1)-c1nc2cc3[C@@H](CCc3c(C#N)c2o1)N1CC[C@H](C1)C(=O)NS(=O)(=O)C1CC1,100.0,N#Cc1c2c(cc3nc(-c4cccc(-c5ccc6c(c5)OCCO6)c4Cl)oc13)[C@H](N1CC[C@@H](C(=O)NS(=O)(=O)C3CC3)C1)CC2,645.137,5.3756800000000045,9,1
1313171,OC(=O)[C@@H]1CCN(C1)[C@H]1CCc2c1cc1nc(oc1c2C#N)-c1cccc(-c2ccc3OCCOc3c2)c1Cl,100.0,N#Cc1c2c(cc3nc(-c4cccc(-c5ccc6c(c5)OCCO6)c4Cl)oc13)[C@@H](N1CC[C@@H](C(=O)O)C1)CC2,541.9910000000002,5.851880000000004,7,1
1313172,Cc1c(cccc1-c1ccc2OCCOc2c1)-c1nc2cc3[C@@H](CCc3c(C#N)c2o1)N1CC[C@H](C1)C(O)=O,100.0,Cc1c(-c2ccc3c(c2)OCCO3)cccc1-c1nc2cc3c(c(C#N)c2o1)CC[C@H]3N1CC[C@@H](C(=O)O)C1,521.5730000000003,5.506900000000005,7,1
1313173,Cc1c(cccc1-c1ccc2OCCOc2c1)-c1nc2cc3[C@@H](CCc3c(C#N)c2o1)NCCC(O)=O,100.0,Cc1c(-c2ccc3c(c2)OCCO3)cccc1-c1nc2cc3c(c(C#N)c2o1)CC[C@H]3NCCC(=O)O,495.5350000000003,5.164700000000004,7,2
1313174,OC(=O)CCN[C@@H]1CCc2c1cc1nc(oc1c2C#N)-c1cccc(c1Cl)-c1ccc2OCCOc2c1,100.0,N#Cc1c2c(cc3nc(-c4cccc(-c5ccc6c(c5)OCCO6)c4Cl)oc13)[C@H](NCCC(=O)O)CC2,515.9530000000003,5.509680000000003,7,2
1313175,OC(=O)[C@@H]1CCN(C1)[C@@H]1CCc2c1cc1cc(oc1c2F)-c1cccc(-c2ccccc2)c1Cl,100.0,O=C(O)[C@@H]1CCN([C@@H]2CCc3c2cc2cc(-c4cccc(-c5ccccc5)c4Cl)oc2c3F)C1,475.9470000000002,6.953100000000005,3,1
51453137,OC[C@H](NCc1cc(Cl)c(OC2CCc3c2cccc3-c2ccccc2)cc1OCc1cncc(c1)C#N)C(O)=O,100.0,N#Cc1cncc(COc2cc(OC3CCc4c(-c5ccccc5)cccc43)c(Cl)cc2CN[C@@H](CO)C(=O)O)c1,570.0450000000002,5.454080000000007,7,3
1266560,Cc1c(cccc1-c1ccccc1)-c1nc2CCNCc2s1,100.0,Cc1c(-c2ccccc2)cccc1-c1nc2c(s1)CNCC2,306.4340000000001,4.431220000000003,3,1
1266561,CN1CCc2nc(sc2C1)-c1cccc(-c2ccccc2)c1C,100.0,Cc1c(-c2ccccc2)cccc1-c1nc2c(s1)CN(C)CC2,320.4610000000001,4.773420000000003,3,0
1266562,Cc1c(cccc1-c1ccccc1)-c1nc2CCN(CCO)Cc2s1,100.0,Cc1c(-c2ccccc2)cccc1-c1nc2c(s1)CN(CCO)CC2,350.4870000000002,4.135920000000003,4,1
1266563,C[C@H](O)CN1CCc2nc(sc2C1)-c1cccc(-c2ccccc2)c1C,100.0,Cc1c(-c2ccccc2)cccc1-c1nc2c(s1)CN(C[C@H](C)O)CC2,364.5140000000002,4.5244200000000045,4,1
1266565,Cc1c(cccc1-c1ccccc1)-c1nc2CCN(Cc2s1)C1CCC(CC1)C(O)=O,100.0,Cc1c(-c2ccccc2)cccc1-c1nc2c(s1)CN(C1CCC(C(=O)O)CC1)CC2,432.58900000000034,5.787020000000005,4,1
1266566,Cc1c(cccc1-c1ccccc1)-c1nc2CCN(CCCC(O)=O)Cc2s1,100.0,Cc1c(-c2ccccc2)cccc1-c1nc2c(s1)CN(CCCC(=O)O)CC2,392.5240000000003,5.0084200000000045,4,1
1266571,N#Cc1c(cccc1-c1ccc2OCCOc2c1)-c1nc2CCNCc2s1,100.0,N#Cc1c(-c2ccc3c(c2)OCCO3)cccc1-c1nc2c(s1)CNCC2,375.4530000000001,3.7656800000000015,6,1
1266572,Cc1c(ccnc1-c1nc2CCNCc2s1)-c1ccccc1,100.0,Cc1c(-c2ccccc2)ccnc1-c1nc2c(s1)CNCC2,307.4220000000001,3.826220000000002,4,1
1266573,COc1cccc(c1)-c1ccnc(-c2nc3CCNCc3s2)c1C,100.0,COc1cccc(-c2ccnc(-c3nc4c(s3)CNCC4)c2C)c1,337.4480000000001,3.8348200000000023,5,1
1266574,Cc1c(ccnc1-c1nc2CCNCc2s1)-c1ccc2OCCOc2c1,100.0,Cc1c(-c2ccc3c(c2)OCCO3)ccnc1-c1nc2c(s1)CNCC2,365.4580000000001,3.5974200000000023,6,1
1266576,Cc1c(cccc1-n1cc2CCNCc2n1)-c1ccccc1,100.0,Cc1c(-c2ccccc2)cccc1-n1cc2c(n1)CNCC2,289.382,3.4934200000000013,3,1
1266580,Cc1c(cccc1-c1ccccc1)-c1nc2CCNCc2o1,100.0,Cc1c(-c2ccccc2)cccc1-c1nc2c(o1)CNCC2,290.366,3.9627200000000027,3,1
1266581,Cc1c(cccc1-c1ccccc1)-c1nc2CNCCc2o1,100.0,Cc1c(-c2ccccc2)cccc1-c1nc2c(o1)CCNC2,290.366,3.9627200000000027,3,1
1266582,CN1CCc2oc(nc2C1)-c1cccc(-c2ccccc2)c1C,100.0,Cc1c(-c2ccccc2)cccc1-c1nc2c(o1)CCN(C)C2,304.39300000000003,4.304920000000004,3,0
1266586,COc1cccc(c1)-c1cccc(-c2nc3CCNCc3s2)c1C,100.0,COc1cccc(-c2cccc(-c3nc4c(s3)CNCC4)c2C)c1,336.4600000000001,4.439820000000004,4,1
1266590,Cc1c(cccc1C1=CCCCC1)-c1nc2CCNCc2s1,100.0,Cc1c(C2=CCCCC2)cccc1-c1nc2c(s1)CNCC2,310.4660000000001,4.721620000000004,3,1
51437203,OCCOc1cccc(c1)-c1cccc(COc2cc(OCc3ccc4nonc4c3)c(CN[C@H](CO)C(O)=O)cc2Cl)c1Cl,101.0,O=C(O)[C@@H](CO)NCc1cc(Cl)c(OCc2cccc(-c3cccc(OCCO)c3)c2Cl)cc1OCc1ccc2nonc2c1,654.503,5.260800000000005,10,4
51397755,Cc1c(COc2cc(OCc3cccc(c3)C#N)c(CN3CCCCC3C(=O)NCCNC(=O)CCCC(=O)Nc3ccc4C(=O)N(C5CCC(=O)NC5=O)C(=O)c4c3)cc2Cl)cccc1-c1ccccc1,102.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)NCCNC(=O)CCCC(=O)Nc3ccc4c(c3)C(=O)N(C3CCC(=O)NC3=O)C4=O)cc2Cl)cccc1-c1ccccc1,992.5300000000001,7.142200000000006,11,4
1212927,CCOC(=O)CN(C)Cc1cnc(cc1C1CC1)C(=O)Nc1cccc(c1C)-c1cccc(NC(=O)c2cc(C3CC3)c(CN(C)CC(=O)OCC)cn2)c1C,102.0,CCOC(=O)CN(C)Cc1cnc(C(=O)Nc2cccc(-c3cccc(NC(=O)c4cc(C5CC5)c(CN(C)CC(=O)OCC)cn4)c3C)c2C)cc1C1CC1,760.9359999999998,7.009640000000007,10,2
51397773,Cc1c(COc2cc(OCc3cccc(c3)C#N)c(CN3CCCCC3C(=O)NCCCCNc3cccc4C(=O)N(C5CCC(=O)NC5=O)C(=O)c34)cc2Cl)cccc1-c1ccc2OCCOc2c1,103.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)NCCCCNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,965.5039999999999,7.8805000000000085,12,3
51427418,COc1cc(ccc1CN1CCN(CC1)S(C)(=O)=O)-c1cccc(c1Cl)-c1ccc2OCCOc2c1,104.0,COc1cc(-c2cccc(-c3ccc4c(c3)OCCO4)c2Cl)ccc1CN1CCN(S(C)(=O)=O)CC1,529.0580000000001,4.531000000000004,6,0
