ID,Smiles,IC50 (nM),canonical_smiles,Molecular Weight,LogP,num_H_acceptors,num_H_Donors
CHEMBL4751960,CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1Cl,589.0,CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1Cl,447.9660000000001,4.4356000000000035,3,2
CHEMBL4764164,O=C(c1ccc(CNCCO)cc1)N1CCc2c(-c3ccccc3)cccc21,191.6,O=C(c1ccc(CNCCO)cc1)N1CCc2c(-c3ccccc3)cccc21,372.4680000000001,3.6384000000000025,3,2
CHEMBL4780731,O=C(c1cccc(CNCCO)c1)N1CCc2c(-c3ccccc3)cccc21,344.0,O=C(c1cccc(CNCCO)c1)N1CCc2c(-c3ccccc3)cccc21,372.468,3.6384000000000025,3,2
CHEMBL4877179,N#Cc1c(-c2ccc(CO)cc2)cccc1-c1ccc2c(c1)OCCO2,1170.0,N#Cc1c(-c2ccc(CO)cc2)cccc1-c1ccc2c(c1)OCCO2,343.3820000000002,4.155780000000003,4,1
CHEMBL252915,c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,100000.0,c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,354.3580000000002,3.2192000000000007,6,0
CHEMBL4633433,CC(=O)N1CCN(Cc2cc(Cl)c(OCc3cccc(-c4ccc5c(c4)OCCO5)c3C)cc2OCc2cccc(C#N)c2)CC1,407.5,CC(=O)N1CCN(Cc2cc(Cl)c(OCc3cccc(-c4ccc5c(c4)OCCO5)c3C)cc2OCc2cccc(C#N)c2)CC1,638.1640000000001,6.780400000000008,7,0
CHEMBL4638279,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCN(C(C)C)CC3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,1000.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCN(C(C)C)CC3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,638.2080000000002,7.6423000000000085,7,0
CHEMBL4648505,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CNCCN(C)C)cc2Cl)cccc1-c1ccccc1,10.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CNCCN(C)C)cc2Cl)cccc1-c1ccccc1,540.1070000000003,6.996300000000008,5,1
CHEMBL4646151,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3C[C@@H](O)C[C@H]3C(=O)O)cc2Cl)cccc1-c1cccnc1,100.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3C[C@@H](O)C[C@H]3C(=O)O)cc2Cl)cccc1-c1cccnc1,584.0720000000002,5.759900000000006,7,2
CHEMBL4648480,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN[C@@H](C(=O)O)[C@H](C)O)cc2Cl)cccc1-c1ccncc1,100.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN[C@@H](C(=O)O)[C@H](C)O)cc2Cl)cccc1-c1ccncc1,572.0610000000001,5.663700000000006,7,3
CHEMBL4586685,Cc1c(NC(=O)c2cc(CNCCO)cn3cnnc23)cccc1-c1ccc2c(c1)OCCO2,92.3,Cc1c(NC(=O)c2cc(CNCCO)cn3cnnc23)cccc1-c1ccc2c(c1)OCCO2,459.50600000000026,2.8101200000000004,8,3
CHEMBL4860335,Cc1cc(OC(F)(F)c2cccc(-c3ccc4c(c3)OCCO4)c2C)cc(OCc2cccc(C#N)c2)c1CNC(C)(CO)CO,16.31,Cc1cc(OC(F)(F)c2cccc(-c3ccc4c(c3)OCCO4)c2C)cc(OCc2cccc(C#N)c2)c1CNC(C)(CO)CO,630.6880000000002,6.153520000000009,8,3
CHEMBL4862938,Cc1c(-c2ccc3c(c2)OCCO3)cccc1C(F)(F)Oc1cc(OCc2cccc(C#N)c2)c(CNC(C)(CO)CO)cc1Cl,5.93,Cc1c(-c2ccc3c(c2)OCCO3)cccc1C(F)(F)Oc1cc(OCc2cccc(C#N)c2)c(CNC(C)(CO)CO)cc1Cl,651.1060000000001,6.498500000000008,8,3
CHEMBL4869588,Cc1c(-c2ccc3c(c2)OCCO3)cccc1C(F)(F)Oc1cc(OCc2cncc(C#N)c2)c(CNC(CO)(CO)CO)cc1Cl,5.68,Cc1c(-c2ccc3c(c2)OCCO3)cccc1C(F)(F)Oc1cc(OCc2cncc(C#N)c2)c(CNC(CO)(CO)CO)cc1Cl,668.0930000000002,4.865900000000007,10,4
CHEMBL5276399,COc1cc(OC(C)=O)cc2c1OC(C)(CCC1=C(C)CCCC1(C)C)C=C2,66000.0,COc1cc(OC(C)=O)cc2c1OC(C)(CCC1=C(C)CCCC1(C)C)C=C2,384.5160000000002,6.091600000000007,4,0
CHEMBL4475015,CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C)c2nncn2c1,565.8,CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C)c2nncn2c1,500.55900000000037,2.953920000000001,8,3
CHEMBL4442851,Cc1c(NC(=O)c2cc(CN(C)CC(O)CO)cn3cnnc23)cccc1-c1ccccc1,374.6,Cc1c(NC(=O)c2cc(CN(C)CC(O)CO)cn3cnnc23)cccc1-c1ccccc1,445.5230000000001,2.742020000000001,7,3
CHEMBL4640118,CC(=O)N1CCN(Cc2ccc(O)c(C(=O)/C=C/c3cccc(-c4ccccc4)c3F)c2)CC1,20000.0,CC(=O)N1CCN(Cc2ccc(O)c(C(=O)/C=C/c3cccc(-c4ccccc4)c3F)c2)CC1,458.53300000000024,4.758500000000004,4,1
